"naam";"param";"value"
"vorm factor";"CF";"1.2"
"vorm factor groot";"CF-GROOT";"1.5"
"partiele veiligheids factor";"GAMMA_F";"1.35"
"partiele materiaal factor";"GAMMA_M";"1.05"
"wind belasting";"WL3";"800.0"
"punt belasting";"PL2";"300.0"
"reductie factor";"CW";"0.56"
"elasticiteits grens";"RE";"235.0"
"elasticiteits modulus";"E";"210000.0"
"glijmodulus";"G";"81000.0"
"maximale tijdelijke vervorming uitbuiging";"MAX_TDB";"50.0"
"maximale tijdelijke vervorming wringing";"MAX_TBT";"1.15"
